Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.312601,0.335915,0.336458,0.313068,0.234251,0.316399,0.328899,0.326105,0.041701,0.109976,0.265537,0.100004
2,0.309611,0.290332,0.319068,0.315749,0.260563,0.281695,0.328923,0.309391,0.010349,0.045524,0.247121,0.111493
3,0.281165,0.300896,0.316275,0.290428,0.300640,0.319952,0.324916,0.318693,0.007324,0.036981,0.249727,0.114737
