Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.266667,0.266667,0.275000,0.266667,0.258333,0.266667,0.275000,0.258333,0.258333,0.258333,0.265000,0.006236
2,0.383333,0.433333,0.408333,0.408333,0.266667,0.391667,0.391667,0.358333,0.258333,0.266667,0.356667,0.063443
3,0.508333,0.625000,0.608333,0.641667,0.566667,0.533333,0.650000,0.500000,0.383333,0.300000,0.531667,0.109151
