Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.312601,0.335915,0.336458,0.313068,0.234251,0.316399,0.328899,0.326105,0.041701,0.109976,0.265537,0.100004
2,0.306798,0.316427,0.310594,0.304525,0.277496,0.314664,0.340655,0.329328,0.038741,0.091757,0.263098,0.100840
3,0.290007,0.324142,0.308717,0.332598,0.273991,0.320001,0.342311,0.330103,0.017685,0.052912,0.259247,0.113903
