Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.363613,0.331834,0.383846,0.366594,0.346283,0.324384,0.394728,0.335446,0.120436,0.100353,0.306751,0.100567
2,0.388046,0.373905,0.399808,0.369087,0.358264,0.323811,0.388031,0.330878,0.106799,0.111370,0.315000,0.105485
3,0.329593,0.308772,0.325558,0.303497,0.304196,0.288166,0.324388,0.298617,0.037971,0.026296,0.254705,0.111995
