Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.289366,0.283153,0.257842,0.265426,0.283386,0.250579,0.288000,0.257723,-0.001343,-0.023074,0.215106,0.114514
2,0.292185,0.309631,0.290096,0.290804,0.286626,0.250449,0.281645,0.260902,-0.010997,-0.024001,0.222734,0.121174
3,0.301627,0.303764,0.299933,0.301546,0.286205,0.251064,0.295337,0.273733,-0.013792,-0.008674,0.229074,0.121143
