Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.289366,0.283153,0.257842,0.265426,0.283386,0.250579,0.288000,0.257723,-0.001343,-0.023074,0.215106,0.114514
2,0.304378,0.315239,0.301039,0.293496,0.286439,0.266015,0.300170,0.266053,-0.006217,-0.027433,0.229918,0.124359
3,0.301287,0.311900,0.295570,0.292957,0.298180,0.255948,0.305454,0.266038,-0.048132,-0.048692,0.223051,0.136715
