Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.283333,0.450000,0.416667,0.450000,0.191667,0.325000,0.416667,0.416667,0.208333,0.300000,0.345833,0.092665
2,0.466667,0.600000,0.575000,0.500000,0.275000,0.416667,0.616667,0.541667,0.283333,0.441667,0.471667,0.114879
3,0.516667,0.650000,0.625000,0.550000,0.525000,0.541667,0.608333,0.625000,0.391667,0.441667,0.547500,0.079499
