Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.363613,0.331834,0.383846,0.366594,0.346283,0.324384,0.394728,0.335446,0.120436,0.100353,0.306751,0.100567
2,0.351076,0.366044,0.356641,0.351574,0.293921,0.303563,0.355296,0.344520,0.066036,0.083049,0.287172,0.108669
3,0.355733,0.350677,0.365925,0.340218,0.333635,0.269908,0.363744,0.322660,0.077881,0.055542,0.283592,0.111649
