Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.366667,0.366667,0.266667,0.325000,0.333333,0.333333,0.333333,0.333333,0.250000,0.233333,0.314167,0.044729
2,0.441667,0.466667,0.425000,0.450000,0.400000,0.483333,0.425000,0.391667,0.241667,0.333333,0.405833,0.067910
3,0.600000,0.550000,0.616667,0.558333,0.525000,0.550000,0.525000,0.516667,0.325000,0.383333,0.515000,0.086907
