Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_B,Client_9_B,Mean,Std
1,0.388007,0.417423,0.418965,0.394005,0.312965,0.396403,0.411632,0.399904,0.411862,0.376503,0.392767,0.029557
2,0.404666,0.375369,0.414063,0.412429,0.348998,0.345803,0.420832,0.398350,0.407150,0.361494,0.388915,0.026947
3,0.370942,0.392806,0.412913,0.384553,0.393752,0.396416,0.410221,0.405003,0.370593,0.370738,0.390794,0.015350
