Round,Client_0_B,Client_1_B,Client_2_B,Client_3_B,Client_4_B,Client_5_B,Client_6_B,Client_7_B,Client_8_A,Client_9_A,Mean,Std
1,0.283333,0.450000,0.416667,0.450000,0.191667,0.325000,0.416667,0.416667,0.208333,0.300000,0.345833,0.092665
2,0.433333,0.575000,0.433333,0.516667,0.325000,0.450000,0.566667,0.525000,0.241667,0.425000,0.449167,0.099753
3,0.525000,0.650000,0.575000,0.591667,0.441667,0.650000,0.716667,0.733333,0.466667,0.475000,0.582500,0.099055
